"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","app.calendso.incubateur.net/5.104.101.30","443","INFO","HTTP","",""
"pre_128cipher","app.calendso.incubateur.net/5.104.101.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","app.calendso.incubateur.net/5.104.101.30","443","OK","not offered","",""
"SSLv3","app.calendso.incubateur.net/5.104.101.30","443","OK","not offered","",""
"TLS1","app.calendso.incubateur.net/5.104.101.30","443","INFO","not offered","",""
"TLS1_1","app.calendso.incubateur.net/5.104.101.30","443","INFO","not offered","",""
"TLS1_2","app.calendso.incubateur.net/5.104.101.30","443","OK","offered","",""
"TLS1_3","app.calendso.incubateur.net/5.104.101.30","443","OK","offered with final","",""
"ALPN_HTTP2","app.calendso.incubateur.net/5.104.101.30","443","OK","h2","",""
"ALPN","app.calendso.incubateur.net/5.104.101.30","443","INFO","http/1.1","",""
"cipherlist_NULL","app.calendso.incubateur.net/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","app.calendso.incubateur.net/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","app.calendso.incubateur.net/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","app.calendso.incubateur.net/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","app.calendso.incubateur.net/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","app.calendso.incubateur.net/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","app.calendso.incubateur.net/5.104.101.30","443","INFO","not offered","",""
"cipherlist_STRONG_FS","app.calendso.incubateur.net/5.104.101.30","443","OK","offered","",""
"cipher_order-tls1_2","app.calendso.incubateur.net/5.104.101.30","443","OK","server","",""
"cipherorder_TLSv1_2","app.calendso.incubateur.net/5.104.101.30","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","app.calendso.incubateur.net/5.104.101.30","443","OK","server","",""
"FS","app.calendso.incubateur.net/5.104.101.30","443","OK","offered","",""
"FS_ciphers","app.calendso.incubateur.net/5.104.101.30","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","app.calendso.incubateur.net/5.104.101.30","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","app.calendso.incubateur.net/5.104.101.30","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","app.calendso.incubateur.net/5.104.101.30","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","app.calendso.incubateur.net/5.104.101.30","443","INFO","yes","",""
"sessionresumption_ticket","app.calendso.incubateur.net/5.104.101.30","443","INFO","supported","",""
"sessionresumption_ID","app.calendso.incubateur.net/5.104.101.30","443","INFO","not supported","",""
"TLS_timestamp","app.calendso.incubateur.net/5.104.101.30","443","INFO","random","",""
"certificate_compression","app.calendso.incubateur.net/5.104.101.30","443","INFO","none","",""
"clientAuth","app.calendso.incubateur.net/5.104.101.30","443","INFO","none","",""
"cert_numbers","app.calendso.incubateur.net/5.104.101.30","443","INFO","1","",""
"cert_signatureAlgorithm","app.calendso.incubateur.net/5.104.101.30","443","OK","SHA256 with RSA","",""
"cert_keySize","app.calendso.incubateur.net/5.104.101.30","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","app.calendso.incubateur.net/5.104.101.30","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","app.calendso.incubateur.net/5.104.101.30","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","app.calendso.incubateur.net/5.104.101.30","443","INFO","0335E23F62038FA9370636C7B6BF66671B09","",""
"cert_serialNumberLen","app.calendso.incubateur.net/5.104.101.30","443","INFO","18","",""
"cert_fingerprintSHA1","app.calendso.incubateur.net/5.104.101.30","443","INFO","D83DCF18BEC6D2EA3FCC851D6775085372EBC67E","",""
"cert_fingerprintSHA256","app.calendso.incubateur.net/5.104.101.30","443","INFO","E8159FA4052CBC5CC6421B462255E56F41B2E31AE4E1CB962491401AE2BF8292","",""
"cert","app.calendso.incubateur.net/5.104.101.30","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFPjCCBCagAwIBAgISAzXiP2IDj6k3BjbHtr9mZxsJMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzAzMzExNDU2MDhaFw0yMzA2MjkxNDU2MDdaMCYxJDAiBgNVBAMTG2FwcC5jYWxlbmRzby5pbmN1YmF0ZXVyLm5ldDCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAN9CGNZdD2pdrTQOTEtfmK/oeerekrQaRn33Opcb2uO6XfbUp/+ZLjldPuMLPlkEeuzkJYg29fcadxo4ihXzAMl3IFLtogjPzN3gH8k4vc6Id0y6LZRo13FJw76l5ZbeKpHgErS+SS0o19izeTAgLCP3bLKxHvEr92pOaKgI1kblLrvKlGBIRYQ7gSAcpt8GJFVF5JXw6Oxwau3gKoFONdZnTYt05tyegImj8pAFUJ/7alprvVx+720gyEEFAnFB42bgBC1QZ4Gx2WCrOHUbCqhO1LEz8TP7kvyRfpx+lCmOWnwOX9WgUXE4dgPux7VCmGRrqYdYFauheRY1Js2yq7MCAwEAAaOCAlgwggJUMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUkvCS0/55iL2tOK6pGPr+LWOzcXAwHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wJgYDVR0RBB8wHYIbYXBwLmNhbGVuZHNvLmluY3ViYXRldXIubmV0MEwGA1UdIARFMEMwCAYGZ4EMAQIBMDcGCysGAQQBgt8TAQEBMCgwJgYIKwYBBQUHAgEWGmh0dHA6Ly9jcHMubGV0c2VuY3J5cHQub3JnMIIBBgYKKwYBBAHWeQIEAgSB9wSB9ADyAHcAtz77JN+cTbp18jnFulj0bF38Qs96nzXEnh0JgSXttJkAAAGHOGIiJAAABAMASDBGAiEAjbwRxbknhGh6jchalRgeqOtOt/00U+rpNkYYT1dPyDMCIQDh2aQ+Rgh9sh36pui67Nyx7WHoOu8VhCpCc83XD00dCgB3AOg+0No+9QY1MudXKLyJa8kD08vREWvs62nhd31tBr1uAAABhzhiIhUAAAQDAEgwRgIhAItdvxC0ZHw0waGf2gdh6mqInGy8DbW6ZQ6lH5R9DLB+AiEArJGQ1rJPVNNFZ0cwf4Lt0sDzirRIURkTUuoET6W/Iw8wDQYJKoZIhvcNAQELBQADggEBAE66uT+8Gd8DNdqaI/KXU4SHpKFbiR+UioNIQY1IKKXqZPflbsNQuacCKouCkXZDdOtimNEq5186aYn4mkTd9mn55wmdAvDpLVskH7wHylFqr/85epwAYHIq7MhkYhubq7DxY8tDEF1caLnY+MuFkHigg6kiJAkbqsk9VeDju2PdnE8HQ6nGYjhLNMvWnVZ/uHEbrxBKfJv40MzQE4FBF7VFI56WzQmSk/4uIia8sxat4spwJl8/04Qv9aQDSVcH0dqTT/JIxm4IvlWXVQZX2GIclTT4ssD5oHVYZVjS9ddwkfbJoEV2S82e4H1qEPkd5kgXxAI1ksI71Wl7rBcLYuw=\n-----END CERTIFICATE-----","",""
"cert_commonName","app.calendso.incubateur.net/5.104.101.30","443","OK","app.calendso.incubateur.net","",""
"cert_commonName_wo_SNI","app.calendso.incubateur.net/5.104.101.30","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","app.calendso.incubateur.net/5.104.101.30","443","INFO","app.calendso.incubateur.net","",""
"cert_trust","app.calendso.incubateur.net/5.104.101.30","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","app.calendso.incubateur.net/5.104.101.30","443","OK","passed.","",""
"cert_certificatePolicies_EV","app.calendso.incubateur.net/5.104.101.30","443","INFO","no","",""
"cert_expirationStatus","app.calendso.incubateur.net/5.104.101.30","443","OK","60 >= 30 days","",""
"cert_notBefore","app.calendso.incubateur.net/5.104.101.30","443","INFO","2023-03-31 14:56","",""
"cert_notAfter","app.calendso.incubateur.net/5.104.101.30","443","OK","2023-06-29 14:56","",""
"cert_extlifeSpan","app.calendso.incubateur.net/5.104.101.30","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","app.calendso.incubateur.net/5.104.101.30","443","INFO","not present","",""
"cert_crlDistributionPoints","app.calendso.incubateur.net/5.104.101.30","443","INFO","--","",""
"cert_ocspURL","app.calendso.incubateur.net/5.104.101.30","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","app.calendso.incubateur.net/5.104.101.30","443","LOW","not offered","",""
"cert_mustStapleExtension","app.calendso.incubateur.net/5.104.101.30","443","INFO","--","",""
"DNS_CAArecord","app.calendso.incubateur.net/5.104.101.30","443","LOW","--","",""
"certificate_transparency","app.calendso.incubateur.net/5.104.101.30","443","OK","yes (certificate extension)","",""
"certs_countServer","app.calendso.incubateur.net/5.104.101.30","443","INFO","3","",""
"certs_list_ordering_problem","app.calendso.incubateur.net/5.104.101.30","443","INFO","no","",""
"cert_caIssuers","app.calendso.incubateur.net/5.104.101.30","443","INFO","R3 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","app.calendso.incubateur.net/5.104.101.30","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFFjCCAv6gAwIBAgIRAJErCErPDBinU/bWLiWnX1owDQYJKoZIhvcNAQELBQAwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjAwOTA0MDAwMDAwWhcNMjUwOTE1MTYwMDAwWjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3MgRW5jcnlwdDELMAkGA1UEAxMCUjMwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC7AhUozPaglNMPEuyNVZLD+ILxmaZ6QoinXSaqtSu5xUyxr45r+XXIo9cPR5QUVTVXjJ6oojkZ9YI8QqlObvU7wy7bjcCwXPNZOOftz2nwWgsbvsCUJCWH+jdxsxPnHKzhm+/b5DtFUkWWqcFTzjTIUu61ru2P3mBw4qVUq7ZtDpelQDRrK9O8ZutmNHz6a4uPVymZ+DAXXbpyb/uBxa3Shlg9F8fnCbvxK/eG3MHacV3URuPMrSXBiLxgZ3Vms/EY96Jc5lP/Ooi2R6X/ExjqmAl3P51T+c8B5fWmcBcUr2Ok/5mzk53cU6cG/kiFHaFpriV1uxPMUgP17VGhi9sVAgMBAAGjggEIMIIBBDAOBgNVHQ8BAf8EBAMCAYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0OBBYEFBQusxe3WFbLrlAJQOYfr52LFMLGMB8GA1UdIwQYMBaAFHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzAnBgNVHR8EIDAeMBygGqAYhhZodHRwOi8veDEuYy5sZW5jci5vcmcvMCIGA1UdIAQbMBkwCAYGZ4EMAQIBMA0GCysGAQQBgt8TAQEBMA0GCSqGSIb3DQEBCwUAA4ICAQCFyk5HPqP3hUSFvNVneLKYY611TR6WPTNlclQtgaDqw+34IL9fzLdwALduO/ZelN7kIJ+m74uyA+eitRY8kc607TkC53wlikfmZW4/RvTZ8M6UK+5UzhK8jCdLuMGYL6KvzXGRSgi3yLgjewQtCPkIVz6D2QQzCkcheAmCJ8MqyJu5zlzyZMjAvnnAT45tRAxekrsu94sQ4egdRCnbWSDtY7kh+BImlJNXoB1lBMEKIq4QDUOXoRgffuDghje1WrG9ML+Hbisq/yFOGwXD9RiX8F6sw6W4avAuvDszue5L3sz85K+EC4Y/wFVDNvZo4TYXao6Z0f+lQKc0t8DQYzk1OXVu8rp2yJMC6alLbBfODALZvYH7n7do1AZls4I9d1P4jnkDrQoxB3UqQ9hVl3LEKQ73xF1OyK5GhDDX8oVfGKF5u+decIsH4YaTw7mP3GFxJSqv3+0lUFJoi5Lc5da149p90IdshCExroL1+7mryIkXPeFM5TgO9r0rvZaBFOvV2z0gp35Z0+L4WPlbuEjN/lxPFin+HlUjr8gRsI3qfJOQFy/9rKIJR0Y/8Omwt/8oTWgy1mdeHmmjk7j1nYsvC9JSQ6ZvMldlTTKB3zhThV1+XWYp6rjd5JW1zbVWEkLNxE7GJThEUG3szgBVGP7pSWTUTsqXnLRbwHOoq7hHwg==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","app.calendso.incubateur.net/5.104.101.30","443","INFO","67ADD1166B020AE61B8F5FC96813C04C2AA589960796865572A3C7E737613DFD","",""
"intermediate_cert_notBefore <#1>","app.calendso.incubateur.net/5.104.101.30","443","INFO","2020-09-04 00:00","",""
"intermediate_cert_notAfter <#1>","app.calendso.incubateur.net/5.104.101.30","443","OK","2025-09-15 16:00","",""
"intermediate_cert_expiration <#1>","app.calendso.incubateur.net/5.104.101.30","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","app.calendso.incubateur.net/5.104.101.30","443","INFO","R3 <-- ISRG Root X1","",""
