"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","code.gouv.fr/5.39.69.44","443","INFO","HTTP","",""
"pre_128cipher","code.gouv.fr/5.39.69.44","443","INFO","No 128 cipher limit bug","",""
"SSLv2","code.gouv.fr/5.39.69.44","443","OK","not offered","",""
"SSLv3","code.gouv.fr/5.39.69.44","443","OK","not offered","",""
"TLS1","code.gouv.fr/5.39.69.44","443","INFO","not offered","",""
"TLS1_1","code.gouv.fr/5.39.69.44","443","INFO","not offered","",""
"TLS1_2","code.gouv.fr/5.39.69.44","443","OK","offered","",""
"TLS1_3","code.gouv.fr/5.39.69.44","443","OK","offered with final","",""
"ALPN","code.gouv.fr/5.39.69.44","443","INFO","http/1.1","",""
"cipherlist_NULL","code.gouv.fr/5.39.69.44","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","code.gouv.fr/5.39.69.44","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","code.gouv.fr/5.39.69.44","443","OK","not offered","","CWE-327"
"cipherlist_LOW","code.gouv.fr/5.39.69.44","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","code.gouv.fr/5.39.69.44","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","code.gouv.fr/5.39.69.44","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","code.gouv.fr/5.39.69.44","443","INFO","not offered","",""
"cipherlist_STRONG_FS","code.gouv.fr/5.39.69.44","443","OK","offered","",""
"cipher_order-tls1_2","code.gouv.fr/5.39.69.44","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","code.gouv.fr/5.39.69.44","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 521   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02b","code.gouv.fr/5.39.69.44","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 521   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","code.gouv.fr/5.39.69.44","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","code.gouv.fr/5.39.69.44","443","INFO","NOT a cipher order configured","",""
"FS","code.gouv.fr/5.39.69.44","443","OK","offered","",""
"FS_ciphers","code.gouv.fr/5.39.69.44","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","code.gouv.fr/5.39.69.44","443","OK","prime256v1","",""
"TLS_extensions","code.gouv.fr/5.39.69.44","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","code.gouv.fr/5.39.69.44","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","code.gouv.fr/5.39.69.44","443","INFO","yes","",""
"sessionresumption_ticket","code.gouv.fr/5.39.69.44","443","INFO","not supported","",""
"sessionresumption_ID","code.gouv.fr/5.39.69.44","443","INFO","supported","",""
"TLS_timestamp","code.gouv.fr/5.39.69.44","443","INFO","random","",""
"certificate_compression","code.gouv.fr/5.39.69.44","443","INFO","none","",""
"clientAuth","code.gouv.fr/5.39.69.44","443","INFO","none","",""
"cert_numbers","code.gouv.fr/5.39.69.44","443","INFO","1","",""
"cert_signatureAlgorithm","code.gouv.fr/5.39.69.44","443","OK","SHA256 with RSA","",""
"cert_keySize","code.gouv.fr/5.39.69.44","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","code.gouv.fr/5.39.69.44","443","INFO","Digital Signature","",""
"cert_extKeyUsage","code.gouv.fr/5.39.69.44","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","code.gouv.fr/5.39.69.44","443","INFO","031BE6CFFE9D9797B079F198CEC8E7A4AD16","",""
"cert_serialNumberLen","code.gouv.fr/5.39.69.44","443","INFO","18","",""
"cert_fingerprintSHA1","code.gouv.fr/5.39.69.44","443","INFO","1A89403014C84CEB77B5C60AFAEB0E1C5A02FCF4","",""
"cert_fingerprintSHA256","code.gouv.fr/5.39.69.44","443","INFO","E0C471E70794A3F9C932E3F3AD92163E9C4CED975F39DB23AF87612A18A5A8FA","",""
