"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","franceconnect.gouv.fr/185.231.164.132","443","INFO","HTTP","",""
"pre_128cipher","franceconnect.gouv.fr/185.231.164.132","443","INFO","No 128 cipher limit bug","",""
"SSLv2","franceconnect.gouv.fr/185.231.164.132","443","OK","not offered","",""
"SSLv3","franceconnect.gouv.fr/185.231.164.132","443","OK","not offered","",""
"TLS1","franceconnect.gouv.fr/185.231.164.132","443","INFO","not offered","",""
"TLS1_1","franceconnect.gouv.fr/185.231.164.132","443","INFO","not offered","",""
"TLS1_2","franceconnect.gouv.fr/185.231.164.132","443","OK","offered","",""
"TLS1_3","franceconnect.gouv.fr/185.231.164.132","443","OK","offered with final","",""
"ALPN_HTTP2","franceconnect.gouv.fr/185.231.164.132","443","OK","h2","",""
"ALPN","franceconnect.gouv.fr/185.231.164.132","443","INFO","http/1.1","",""
"cipherlist_NULL","franceconnect.gouv.fr/185.231.164.132","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","franceconnect.gouv.fr/185.231.164.132","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","franceconnect.gouv.fr/185.231.164.132","443","OK","not offered","","CWE-327"
"cipherlist_LOW","franceconnect.gouv.fr/185.231.164.132","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","franceconnect.gouv.fr/185.231.164.132","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","franceconnect.gouv.fr/185.231.164.132","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","franceconnect.gouv.fr/185.231.164.132","443","INFO","not offered","",""
"cipherlist_STRONG_FS","franceconnect.gouv.fr/185.231.164.132","443","OK","offered","",""
"cipher_order-tls1_2","franceconnect.gouv.fr/185.231.164.132","443","OK","server","",""
"cipherorder_TLSv1_2","franceconnect.gouv.fr/185.231.164.132","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","franceconnect.gouv.fr/185.231.164.132","443","OK","server","",""
"FS","franceconnect.gouv.fr/185.231.164.132","443","OK","offered","",""
"FS_ciphers","franceconnect.gouv.fr/185.231.164.132","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","franceconnect.gouv.fr/185.231.164.132","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","franceconnect.gouv.fr/185.231.164.132","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","franceconnect.gouv.fr/185.231.164.132","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","franceconnect.gouv.fr/185.231.164.132","443","INFO","yes","",""
"sessionresumption_ticket","franceconnect.gouv.fr/185.231.164.132","443","INFO","not supported","",""
"sessionresumption_ID","franceconnect.gouv.fr/185.231.164.132","443","INFO","supported","",""
"TLS_timestamp","franceconnect.gouv.fr/185.231.164.132","443","INFO","random","",""
"certificate_compression","franceconnect.gouv.fr/185.231.164.132","443","INFO","none","",""
"clientAuth","franceconnect.gouv.fr/185.231.164.132","443","INFO","none","",""
"cert_numbers","franceconnect.gouv.fr/185.231.164.132","443","INFO","1","",""
"cert_signatureAlgorithm","franceconnect.gouv.fr/185.231.164.132","443","OK","SHA256 with RSA","",""
"cert_keySize","franceconnect.gouv.fr/185.231.164.132","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","franceconnect.gouv.fr/185.231.164.132","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","franceconnect.gouv.fr/185.231.164.132","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","franceconnect.gouv.fr/185.231.164.132","443","INFO","6525A4767E501B749B67A3D78A8A542B","",""
"cert_serialNumberLen","franceconnect.gouv.fr/185.231.164.132","443","INFO","16","",""
"cert_fingerprintSHA1","franceconnect.gouv.fr/185.231.164.132","443","INFO","520AA612F4C1A156E3FEA2652874F50705F0A150","",""
"cert_fingerprintSHA256","franceconnect.gouv.fr/185.231.164.132","443","INFO","E9E3FAA1F7EC7CB701AD13F910794DA6347C08B6707C6C1B6E14F553DF6F2570","",""
