"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","geo.api.gouv.fr/188.165.35.67","443","INFO","HTTP","",""
"pre_128cipher","geo.api.gouv.fr/188.165.35.67","443","INFO","No 128 cipher limit bug","",""
"SSLv2","geo.api.gouv.fr/188.165.35.67","443","OK","not offered","",""
"SSLv3","geo.api.gouv.fr/188.165.35.67","443","OK","not offered","",""
"TLS1","geo.api.gouv.fr/188.165.35.67","443","LOW","offered (deprecated)","",""
"TLS1_1","geo.api.gouv.fr/188.165.35.67","443","LOW","offered (deprecated)","",""
"TLS1_2","geo.api.gouv.fr/188.165.35.67","443","OK","offered","",""
"TLS1_3","geo.api.gouv.fr/188.165.35.67","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","geo.api.gouv.fr/188.165.35.67","443","OK","h2","",""
"ALPN","geo.api.gouv.fr/188.165.35.67","443","INFO","http/1.1","",""
"cipherlist_NULL","geo.api.gouv.fr/188.165.35.67","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","geo.api.gouv.fr/188.165.35.67","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","geo.api.gouv.fr/188.165.35.67","443","OK","not offered","","CWE-327"
"cipherlist_LOW","geo.api.gouv.fr/188.165.35.67","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","geo.api.gouv.fr/188.165.35.67","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","geo.api.gouv.fr/188.165.35.67","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","geo.api.gouv.fr/188.165.35.67","443","OK","offered","",""
"cipherlist_STRONG_FS","geo.api.gouv.fr/188.165.35.67","443","OK","offered","",""
"cipher_order-tls1","geo.api.gouv.fr/188.165.35.67","443","OK","server","",""
"cipherorder_TLSv1","geo.api.gouv.fr/188.165.35.67","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_1","geo.api.gouv.fr/188.165.35.67","443","OK","server","",""
"cipherorder_TLSv1_1","geo.api.gouv.fr/188.165.35.67","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_2","geo.api.gouv.fr/188.165.35.67","443","OK","server","",""
"cipherorder_TLSv1_2","geo.api.gouv.fr/188.165.35.67","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","geo.api.gouv.fr/188.165.35.67","443","OK","server","",""
"FS","geo.api.gouv.fr/188.165.35.67","443","OK","offered","",""
"FS_ciphers","geo.api.gouv.fr/188.165.35.67","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","geo.api.gouv.fr/188.165.35.67","443","OK","prime256v1","",""
"TLS_extensions","geo.api.gouv.fr/188.165.35.67","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15' 'next protocol/#13172' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","geo.api.gouv.fr/188.165.35.67","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","geo.api.gouv.fr/188.165.35.67","443","INFO","yes","",""
"sessionresumption_ticket","geo.api.gouv.fr/188.165.35.67","443","INFO","supported","",""
"sessionresumption_ID","geo.api.gouv.fr/188.165.35.67","443","INFO","supported","",""
"TLS_timestamp","geo.api.gouv.fr/188.165.35.67","443","INFO","random","",""
"cert_compression","geo.api.gouv.fr/188.165.35.67","443","INFO","N/A","",""
"clientAuth","geo.api.gouv.fr/188.165.35.67","443","INFO","none","",""
"cert_numbers","geo.api.gouv.fr/188.165.35.67","443","INFO","1","",""
"cert_signatureAlgorithm","geo.api.gouv.fr/188.165.35.67","443","OK","SHA256 with RSA","",""
"cert_keySize","geo.api.gouv.fr/188.165.35.67","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","geo.api.gouv.fr/188.165.35.67","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","geo.api.gouv.fr/188.165.35.67","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","geo.api.gouv.fr/188.165.35.67","443","INFO","045572901D070B0D9A16425EAEFB49F4B391","",""
"cert_serialNumberLen","geo.api.gouv.fr/188.165.35.67","443","INFO","18","",""
"cert_fingerprintSHA1","geo.api.gouv.fr/188.165.35.67","443","INFO","9E7B1FA9F9CDE6A4DE6FB8F7DE421D56FA77D50A","",""
"cert_fingerprintSHA256","geo.api.gouv.fr/188.165.35.67","443","INFO","182103AB47B066500D62FE5FCD18FCC31379473CA0030B76E777BCE725E5A5D9","",""
