"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","HTTP","",""
"pre_128cipher","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","No 128 cipher limit bug","",""
"SSLv2","moncomptepro.beta.gouv.fr/109.232.236.90","443","OK","not offered","",""
"SSLv3","moncomptepro.beta.gouv.fr/109.232.236.90","443","OK","not offered","",""
"TLS1","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_1","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_2","moncomptepro.beta.gouv.fr/109.232.236.90","443","OK","offered","",""
"TLS1_3","moncomptepro.beta.gouv.fr/109.232.236.90","443","OK","offered with final","",""
"ALPN_HTTP2","moncomptepro.beta.gouv.fr/109.232.236.90","443","OK","h2","",""
"ALPN","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","http/1.1","",""
"cipherlist_NULL","moncomptepro.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","moncomptepro.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","moncomptepro.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_LOW","moncomptepro.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"cipherlist_STRONG_FS","moncomptepro.beta.gouv.fr/109.232.236.90","443","OK","offered","",""
"cipher_order-tls1_2","moncomptepro.beta.gouv.fr/109.232.236.90","443","OK","server","",""
"cipherorder_TLSv1_2","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","moncomptepro.beta.gouv.fr/109.232.236.90","443","OK","server","",""
"FS","moncomptepro.beta.gouv.fr/109.232.236.90","443","OK","offered","",""
"FS_ciphers","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","moncomptepro.beta.gouv.fr/109.232.236.90","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","yes","",""
"sessionresumption_ticket","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","not supported","",""
"sessionresumption_ID","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","supported","",""
"TLS_timestamp","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","random","",""
"certificate_compression","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","none","",""
"clientAuth","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","none","",""
"cert_numbers","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","1","",""
"cert_signatureAlgorithm","moncomptepro.beta.gouv.fr/109.232.236.90","443","OK","SHA256 with RSA","",""
"cert_keySize","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","0369A4EE14D211265D81E214D7F284924609","",""
"cert_serialNumberLen","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","18","",""
"cert_fingerprintSHA1","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","C88AAB67C309F9C33A6D05E946C82F930885333A","",""
"cert_fingerprintSHA256","moncomptepro.beta.gouv.fr/109.232.236.90","443","INFO","E001EBA6B3D58D477919885557E6C04622912738B0BECDE6E842AD26C999DC16","",""
